productId;productName;brand;listprice;Offer_price;categories;link;description;País de Origen;productReference
11174;Platano Extra Granel (1 a 2 un. aprox);Frutas y Verduras Propias;1590.0;795.0;['/Frutas y Verduras/Frutas/Fruta/', '/Frutas y Verduras/Frutas/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/platano-granel/p;Su delicioso sabor y textura, su alto contenido de potasio, hacen del plátano un alimento perfecto para su consumo a diario. Prepáralo de la manera que prefieras o cómelo directamente.;;780388-KG
5804;Papa malla 2 kg;Frutas y Verduras Propias;3190.0;0.0;['/Frutas y Verduras/Verduras/Verdura/', '/Frutas y Verduras/Verduras/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/papas-jumbo-malla-2-kg/p;La papa es una gran fuente de energía con alto nivel de antioxidantes, además es muy versátil en la cocina.;;261044
5801;Palta Hass Extra Chilena (1 a 2 un. aprox);Frutas y Verduras Propias;6790.0;3395.0;['/Frutas y Verduras/Verduras/Verdura/', '/Frutas y Verduras/Verduras/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/palta-hass-jumbo-granel/p;La palta, además de ser exquisita, también es alta en contenido nutritivo, vitaminas, fibra y baja en colesterol.;;506862-KG
5799;Limón malla 1 kg;Frutas y Verduras Propias;2090.0;0.0;['/Frutas y Verduras/Verduras/Verdura/', '/Frutas y Verduras/Verduras/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/limon-jumbo-malla-1-kg/p;Perfecto para tus ensaladas y cócteles. El limón es un poderoso antioxidante y alto en vitamina C, ideal para todas tus preparaciones.;['Chile'];260818
498;Bebida Coca-Cola Sin Azúcar 1.5 L;Coca-Cola;1990.0;440.0;['/Bebidas, Aguas y Jugos/Bebidas Gaseosas/Bebidas Light o Zero Azúcar/', '/Bebidas, Aguas y Jugos/Bebidas Gaseosas/', '/Bebidas, Aguas y Jugos/'];https://jumbo.vtexcommercestable.com.br/bebida-cocacola-zero-15-l-botella-desechable/p;Disfruta de tu Coca-Cola en todo momento. Refrescante y delicioso sabor. Ideal para compartirla en familia. Pruébala en todas sus variedades.;['Chile'];713789
275;Tomate Larga Vida Granel (1 a 2 un. aprox);Frutas y Verduras Propias;1990.0;995.0;['/Frutas y Verduras/Verduras/Verdura/', '/Frutas y Verduras/Verduras/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/tomate-larga-vida-granel/p;Por una alimentación basada en vegetales, prefiere los tomates de nuestra tienda. Recuerda que el tomate es un potente antioxidante natural, rico en vitamina A, K, hierro y potasio.;;261275-KG
96067;Marraqueta grande kg;Panadería Propia;2290.0;1144.0;['/Panadería y Pastelería/Panadería granel/Pan Tradicional/', '/Panadería y Pastelería/Panadería granel/', '/Panadería y Pastelería/'];https://jumbo.vtexcommercestable.com.br/marraqueta-grande-jumbo-v2-kg/p;Marraqueta de tamaño grande. Encuentra los mejores productos de panadería y repostería en nuestro sitio web.;;1855229-KG
94519;Pimiento rojo extra;Frutas y Verduras Propias;1690.0;0.0;['/Frutas y Verduras/Verduras/Verdura/', '/Frutas y Verduras/Verduras/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/pimiento-rojo-extra/p;<p>El pimiento rojo destaca por su gran aporte de vitamica c, fibra y antioxidantes.</p>;;1855743
61290;Brócoli un.;Frutas y Verduras Propias;1590.0;0.0;['/Frutas y Verduras/Verduras/Verdura/', '/Frutas y Verduras/Verduras/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/brocoli-unid/p;"<p>Brassica oleracea var. italica, el brócoli, ? brécol? o bróquil? del italiano broccoli, es una planta de la familia de las brasicáceas. Otras variedades de la misma especie son el repollo, la coliflor, el colinabo y la col de Bruselas. El llamado brócoli chino o kale es también una variedad de Brassica oleracea.</p>
<p>Consumir&nbsp;brócoli&nbsp;beneficia el hígado y ayuda a desintoxicar el organismo. Comer&nbsp;brócoli&nbsp;es excelente para mantener los huesos sanos y fuertes, dado su contenido de calcio, fósforo, magnesio y zinc.</p>";;1757310
53642;Manzana Royal Gala granel;Frutas y Verduras Propias;2490.0;1245.0;['/Frutas y Verduras/Frutas/Fruta/', '/Frutas y Verduras/Frutas/', '/Frutas y Verduras/'];https://jumbo.vtexcommercestable.com.br/manzana-royal-gala-granel/p;"Deliciosas Manzanas Royal Gala, ideales para su consumo a diario de la manera que prefieras; en un rico jugo natural o un delicioso postre de frutas.";;1558641-KG
